EOSUSDT,SUSHIUSDT,BALUSDT,KNCUSDT,SRMUSDT,ENJUSDT,ZRXUSDT,QTUMUSDT,ATOMUSDT,IOTAUSDT,WAVESUSDT,ADAUSDT,BCHUSDT,XTZUSDT,BNBUSDT,IOSTUSDT,HNTUSDT,ETCUSDT,XMRUSDT,YFIUSDT,ZECUSDT,ETHUSDT,BZRXUSDT,BATUSDT,ALGOUSDT,DOGEUSDT,RLCUSDT,TRXUSDT,STORJUSDT,SNXUSDT,AVAXUSDT,XLMUSDT,NEOUSDT,MKRUSDT,DASHUSDT,THETAUSDT,KAVAUSDT,UNIUSDT,RUNEUSDT,LINKUSDT,DEFIUSDT,COMPUSDT,SOLUSDT,BTCUSDT,OMGUSDT,ICXUSDT,BLZUSDT,FTMUSDT,YFIIUSDT,LTCUSDT,BANDUSDT,XRPUSDT,SXPUSDT,CRVUSDT,DOTUSDT,EGLDUSDT,VETUSDT,ONTUSDT,TRBUSDT,ZILUSDT,LENDUSDT,FLMUSDT
2.610,1.3227,16.819,1.02741,1.8964,0.16271,0.4153,2.505,5.491,0.2818,2.7302,0.10280,231.87,2.275,28.850,0.005960,1.6922,5.430,110.55,23909.8,65.48,366.63,0.2007,0.2444,0.3652,0.002663,0.9594,0.02640,0.4998,4.955,4.4178,0.07567,19.965,592.81,70.49,0.7197,2.4209,4.4340,0.5341,10.205,619.9,138.67,2.9794,10861.97,4.3399,0.4279,0.11392,0.039500,3204.3,47.74,6.9078,0.2435,1.7365,0.977,4.495,10.816,0.013317,0.6465,23.096,0.01912,0.5612,0.6584
2.617,1.3320,17.077,1.03101,1.8986,0.16254,0.4156,2.512,5.534,0.2831,2.7295,0.10271,233.05,2.298,28.990,0.005998,1.6463,5.483,109.92,24426.8,65.57,368.47,0.2048,0.2453,0.3634,0.002670,0.9629,0.02674,0.5022,4.974,4.3903,0.07589,20.032,593.92,70.82,0.7203,2.4375,4.4778,0.5434,10.376,626.9,138.32,2.9580,10897.75,4.3777,0.4371,0.11360,0.039621,3253.5,47.94,7.0979,0.2443,1.7408,0.979,4.583,10.814,0.013379,0.6506,23.245,0.01966,0.5676,0.6387
2.608,1.3210,17.179,1.02916,1.8694,0.16152,0.4174,2.495,5.477,0.2825,2.7345,0.10296,231.81,2.278,28.878,0.005973,1.6517,5.468,109.77,24479.6,65.80,367.69,0.2014,0.2447,0.3677,0.002668,0.9561,0.02654,0.4994,4.914,4.3572,0.07599,19.961,591.68,70.53,0.6998,2.4225,4.4292,0.5320,10.307,624.2,138.08,2.9556,10881.61,4.3306,0.4467,0.11355,0.038978,3233.8,47.92,6.9722,0.2435,1.7274,0.963,4.566,10.768,0.013363,0.6483,23.225,0.01967,0.5737,0.6430
2.602,1.3116,17.150,1.02500,1.8540,0.15948,0.4186,2.475,5.419,0.2808,2.7082,0.10167,230.65,2.273,28.557,0.005950,1.6281,5.427,109.09,23620.6,67.25,365.90,0.2001,0.2417,0.3580,0.002658,0.9365,0.02638,0.4922,4.887,4.3452,0.07560,19.658,587.14,70.33,0.6959,2.3840,4.3760,0.5264,10.175,615.5,136.40,2.9360,10852.08,4.2519,0.4473,0.11304,0.039526,3145.8,47.81,6.9559,0.2426,1.6890,0.944,4.507,10.911,0.013315,0.6445,22.822,0.02057,0.5829,0.6172
2.606,1.3113,17.468,1.02276,1.8364,0.15955,0.4248,2.489,5.388,0.2805,2.7138,0.10219,230.54,2.271,28.371,0.005951,1.6149,5.419,108.43,23420.0,68.23,365.79,0.1978,0.2419,0.3595,0.002662,0.9360,0.02639,0.4927,4.802,4.2990,0.07577,19.698,585.78,70.34,0.7049,2.3712,4.3528,0.5220,10.178,612.7,135.93,2.9183,10851.94,4.2825,0.4430,0.11156,0.039286,3148.1,48.36,6.8937,0.2425,1.6650,0.941,4.509,10.720,0.013246,0.6412,22.652,0.02039,0.5801,0.6135
2.570,1.2683,17.368,1.00060,1.7798,0.15738,0.4179,2.442,5.282,0.2762,2.6789,0.09913,227.11,2.212,27.707,0.005830,1.5800,5.331,106.00,22319.0,66.66,361.05,0.1880,0.2361,0.3484,0.002633,0.9163,0.02605,0.4914,4.676,4.1982,0.07464,19.116,576.50,69.41,0.6984,2.3287,4.2657,0.5026,9.889,596.1,134.18,2.8538,10710.35,4.1342,0.4287,0.10798,0.037881,3017.0,47.41,6.6972,0.2394,1.6195,0.915,4.461,10.470,0.013047,0.6284,22.205,0.01983,0.5619,0.6043
2.511,1.2302,17.957,0.95252,1.7143,0.15137,0.3974,2.359,5.117,0.2667,2.4900,0.09620,224.58,2.165,26.626,0.005616,1.5089,5.202,103.91,22044.2,64.94,349.87,0.1822,0.2278,0.3341,0.002600,0.8874,0.02528,0.4698,4.534,4.0958,0.07229,18.378,559.48,68.09,0.6916,2.1701,4.0511,0.4820,9.511,573.7,127.34,2.7294,10518.61,3.9253,0.4093,0.10518,0.036247,2962.7,45.79,6.3536,0.2356,1.5167,0.846,4.301,10.117,0.012677,0.6128,20.836,0.01875,0.5361,0.5689
2.509,1.2121,16.799,0.94871,1.6995,0.15159,0.3908,2.340,4.995,0.2695,2.4711,0.09642,222.35,2.161,26.414,0.005550,1.4913,5.186,104.22,22072.5,64.41,346.01,0.1811,0.2253,0.3335,0.002604,0.8815,0.02516,0.4544,4.403,4.0686,0.07193,18.325,559.66,67.39,0.6918,2.1526,3.9883,0.4641,9.493,566.7,127.11,2.6808,10480.38,3.9347,0.4067,0.10285,0.036047,2923.4,45.76,6.2124,0.2347,1.5102,0.846,4.274,10.077,0.012645,0.6069,20.155,0.01869,0.5245,0.5602
2.532,1.2559,17.634,0.97188,1.7779,0.15493,0.3978,2.363,5.139,0.2722,2.5266,0.09786,225.33,2.189,27.045,0.005634,1.5357,5.237,104.30,23101.6,64.95,351.85,0.1857,0.2297,0.3408,0.002630,0.9009,0.02548,0.4696,4.522,4.1106,0.07303,18.607,574.59,68.06,0.7063,2.2133,4.1137,0.4804,9.660,582.3,128.94,2.7410,10580.51,4.0454,0.4193,0.10511,0.037010,3018.1,46.57,6.4099,0.2368,1.5578,0.864,4.319,10.236,0.012862,0.6155,20.699,0.01976,0.5391,0.5802
2.539,1.2535,17.434,0.97721,1.7954,0.15370,0.3991,2.367,5.153,0.2725,2.5638,0.09820,225.43,2.193,27.382,0.005629,1.5505,5.264,104.86,22858.1,64.97,352.99,0.1854,0.2300,0.3442,0.002642,0.9000,0.02551,0.4756,4.542,4.1483,0.07380,18.761,581.35,68.18,0.7121,2.2019,4.1712,0.4844,9.681,584.4,128.76,2.7625,10611.01,4.0613,0.4224,0.10485,0.037258,3029.8,46.41,6.4531,0.2374,1.5635,0.868,4.329,10.336,0.012907,0.6184,20.847,0.01966,0.5568,0.5741
2.535,1.2417,17.408,0.96933,1.7735,0.15386,0.3951,2.350,5.068,0.2712,2.5581,0.09719,225.17,2.186,26.980,0.005580,1.5427,5.252,102.87,22776.1,64.00,351.43,0.1838,0.2292,0.3355,0.002632,0.8896,0.02544,0.4708,4.478,4.1466,0.07272,18.583,573.48,67.64,0.7158,2.2048,4.1685,0.4710,9.634,581.1,127.58,2.7627,10600.31,4.0247,0.4195,0.10412,0.036623,3015.5,46.22,6.3867,0.2370,1.5480,0.863,4.319,10.252,0.012747,0.6147,20.652,0.01941,0.5596,0.5724
2.530,1.2311,17.361,0.95579,1.7725,0.15244,0.3941,2.347,5.033,0.2710,2.5523,0.09696,224.44,2.181,27.089,0.005600,1.5393,5.256,101.62,22916.4,64.07,350.71,0.1832,0.2281,0.3308,0.002632,0.8789,0.02538,0.4673,4.481,4.1134,0.07275,18.577,572.32,67.47,0.7148,2.1890,4.1211,0.4707,9.484,578.1,127.72,2.8043,10580.50,3.9928,0.4221,0.10336,0.036372,3025.5,45.85,6.3871,0.2368,1.5354,0.858,4.296,10.222,0.012701,0.6119,20.574,0.01921,0.5526,0.5672
2.540,1.2510,17.399,0.95059,1.7816,0.15417,0.3966,2.361,5.093,0.2712,2.6256,0.09727,224.89,2.197,27.284,0.005646,1.5508,5.277,102.78,22981.7,64.48,351.59,0.1839,0.2287,0.3336,0.002628,0.8875,0.02551,0.4686,4.530,4.1371,0.07302,18.645,573.98,67.88,0.7177,2.2133,4.1836,0.4777,9.597,583.5,128.85,2.8484,10602.50,3.9998,0.4263,0.10465,0.037094,3052.4,46.04,6.4107,0.2381,1.5459,0.864,4.324,10.299,0.012687,0.6163,20.763,0.01927,0.5675,0.5695
2.545,1.2510,17.730,0.95535,1.7851,0.15411,0.3991,2.368,5.139,0.2723,2.6282,0.09803,227.98,2.196,27.455,0.005693,1.5409,5.316,103.74,22811.7,64.72,352.53,0.1844,0.2303,0.3348,0.002627,0.9134,0.02581,0.4738,4.679,4.1477,0.07315,18.755,576.18,68.09,0.7250,2.2289,4.2392,0.4828,9.632,587.4,129.21,2.8701,10612.63,4.0198,0.4355,0.10532,0.037027,3043.9,46.27,6.4136,0.2382,1.5487,0.865,4.348,10.300,0.012729,0.6184,20.733,0.01947,0.5775,0.5617
2.535,1.2389,17.803,0.98147,1.7552,0.15261,0.3953,2.353,5.099,0.2707,2.5988,0.09702,225.97,2.186,27.235,0.005647,1.5053,5.308,103.13,22465.9,63.98,350.73,0.1811,0.2279,0.3302,0.002599,0.8911,0.02566,0.4697,4.604,4.1265,0.07278,18.552,571.56,67.58,0.7114,2.2116,4.1653,0.4631,9.521,580.3,127.56,2.8402,10588.35,3.9821,0.4234,0.10377,0.036782,2998.1,46.10,6.3218,0.2368,1.5122,0.860,4.316,10.203,0.012642,0.6112,20.564,0.01871,0.5707,0.5582
2.543,1.2442,18.287,0.98037,1.7577,0.15271,0.3962,2.359,5.138,0.2736,2.5739,0.09819,226.53,2.190,27.564,0.005656,1.5102,5.325,103.22,22510.7,64.34,351.71,0.1819,0.2292,0.3310,0.002606,0.8925,0.02573,0.4821,4.616,4.1129,0.07315,18.718,571.92,67.95,0.7142,2.2223,4.1696,0.4641,9.552,581.0,128.84,2.8214,10586.89,4.0257,0.4260,0.10500,0.036841,2993.4,46.23,6.3661,0.2372,1.5286,0.863,4.317,10.251,0.012685,0.6113,20.744,0.01884,0.5692,0.5597
2.539,1.2448,18.132,0.98107,1.7587,0.15348,0.3955,2.376,5.212,0.2731,2.5928,0.09825,226.17,2.189,27.637,0.005671,1.5197,5.303,103.77,22770.8,64.11,351.32,0.1830,0.2299,0.3333,0.002611,0.9056,0.02568,0.4827,4.590,4.1096,0.07318,18.821,570.81,68.05,0.7251,2.2496,4.1707,0.4724,9.564,583.4,128.52,2.8364,10598.31,4.1104,0.4262,0.10577,0.037233,3018.2,46.26,6.4209,0.2375,1.5453,0.870,4.315,10.223,0.012794,0.6127,20.740,0.01879,0.5645,0.5690
2.550,1.2584,17.928,0.98509,1.7754,0.15421,0.3962,2.389,5.247,0.2755,2.5955,0.10014,227.36,2.196,27.933,0.005718,1.5254,5.323,103.85,23200.0,64.94,353.02,0.1842,0.2312,0.3379,0.002618,0.9148,0.02583,0.5007,4.610,4.1437,0.07336,18.904,575.56,68.50,0.7300,2.2842,4.1853,0.4739,9.796,590.2,130.16,2.8672,10642.01,4.2391,0.4276,0.10766,0.037497,3047.4,46.64,6.4893,0.2386,1.5580,0.875,4.350,10.295,0.012835,0.6129,20.819,0.01923,0.5784,0.5763
2.540,1.2371,17.486,0.97239,1.7561,0.15336,0.3886,2.374,5.162,0.2750,2.5642,0.09840,226.26,2.172,27.450,0.005665,1.5156,5.310,103.75,22708.5,65.78,351.16,0.1841,0.2299,0.3321,0.002599,0.9018,0.02564,0.4934,4.504,4.1461,0.07270,18.717,569.30,68.47,0.7183,2.2487,4.1278,0.4663,9.636,580.0,128.70,2.8424,10584.40,4.1392,0.4210,0.10714,0.036702,3014.8,46.50,6.4256,0.2375,1.5330,0.853,4.315,10.193,0.012679,0.6068,20.592,0.01916,0.5623,0.5624
2.488,1.1698,16.441,0.91174,1.6760,0.14459,0.3727,2.266,4.912,0.2611,2.4578,0.09488,220.37,2.084,26.837,0.005389,1.4796,5.200,98.00,21040.6,62.44,342.63,0.1751,0.2193,0.3089,0.002550,0.8495,0.02463,0.4618,4.233,3.9219,0.07088,17.951,555.34,65.47,0.6988,2.0709,4.0159,0.4282,9.267,551.5,124.08,2.6722,10436.39,3.9310,0.3963,0.09732,0.033132,2866.8,45.31,5.9900,0.2325,1.4621,0.814,4.126,9.442,0.011987,0.5826,18.987,0.01778,0.5306,0.4875
2.500,1.1872,16.710,0.93009,1.7106,0.14698,0.3768,2.276,4.992,0.2674,2.4893,0.09498,220.46,2.108,27.166,0.005419,1.4879,5.229,99.42,21584.6,63.24,343.94,0.1755,0.2209,0.3166,0.002566,0.8543,0.02488,0.4669,4.292,3.9567,0.07112,18.194,556.50,66.00,0.7044,2.0967,4.0330,0.4351,9.347,558.8,124.23,2.6585,10495.51,3.9789,0.4024,0.09765,0.033971,2912.8,45.55,5.9725,0.2335,1.4873,0.818,4.166,9.490,0.012204,0.5894,19.314,0.01805,0.5433,0.5011
2.494,1.1756,16.274,0.93427,1.6846,0.14620,0.3774,2.266,4.941,0.2640,2.4825,0.09482,220.32,2.106,27.003,0.005351,1.4827,5.191,98.46,21364.1,62.84,342.16,0.1746,0.2199,0.3137,0.002567,0.8428,0.02473,0.4507,4.261,3.9403,0.07093,17.990,549.20,65.75,0.6947,2.0800,4.0060,0.4323,9.275,553.7,122.00,2.6662,10483.88,3.8962,0.3982,0.09739,0.033102,2875.9,45.40,5.9670,0.2335,1.4656,0.808,4.128,9.472,0.012098,0.5866,19.150,0.01763,0.5323,0.4935
2.482,1.1452,15.468,0.89887,1.6356,0.14663,0.3644,2.225,4.815,0.2594,2.4053,0.09265,217.03,2.071,26.550,0.005247,1.4770,5.108,96.78,20133.2,62.03,338.29,0.1680,0.2162,0.3037,0.002546,0.8190,0.02458,0.4385,4.127,3.8659,0.06992,17.710,542.47,65.01,0.6685,2.0218,3.9009,0.4162,9.075,531.4,119.37,2.6182,10449.94,3.6386,0.3874,0.09331,0.032060,2539.6,44.98,5.8752,0.2316,1.3890,0.778,4.083,9.313,0.011885,0.5801,18.869,0.01702,0.5007,0.4704
